Event_Date,Weather_Date,Latitude,Longitude,Precipitation,Flood
2015-12-28,2015-12-22,-30.73805555555556,-59.14416666666666,7.600000381469727,0
2015-12-28,2015-12-23,-30.73805555555556,-59.14416666666666,7.5,0
2015-12-28,2015-12-24,-30.73805555555556,-59.14416666666666,0.0,0
2015-12-28,2015-12-25,-30.73805555555556,-59.14416666666666,0.2000000029802322,0
2015-12-28,2015-12-26,-30.73805555555556,-59.14416666666666,0.1000000014901161,0
2015-12-28,2015-12-27,-30.73805555555556,-59.14416666666666,0.0,0
2015-12-28,2015-12-28,-30.73805555555556,-59.14416666666666,0.4000000059604645,1
2015-12-28,2014-12-22,-30.73805555555556,-59.14416666666666,0.0,0
2015-12-28,2014-12-23,-30.73805555555556,-59.14416666666666,0.0,0
2015-12-28,2014-12-24,-30.73805555555556,-59.14416666666666,0.0,0
